Fecha,canal_distribucion,chainStore,region_dsc,codeStore,tienda_dsc,categoria,mg,idProduct,upc,descripcion_producto,tipo_alerta,inventario_unidades,oportunidad_valor
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Bebidas,1545,07501058623096,GERBER 1AET Bebida Manzana LE 12x118mlMX,Inventario agotado,0,203.58684
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Chocolate Impulso,Carlos V,1527,07501058617736,CARLOS V Choc Libre Azucar 8(10x17g) MX,Inventario sin venta,159,420.89688
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Alim. Infantiles,Papillas 2A,1467,00000075003296,GERBER 2AET Postre Manzana 12x113g MX,Inventario sin venta,13,12.887931
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Especialidades,4249,07501058611246,NAN PREBIO Formula Infantil 12x900g MX,Inventario sin venta,3,186.05171
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Portion,Capsulas,4397,07613037504941,NESCAFE DLC GST LtMac 16Cap 3x183.2g MX,Inventario sin venta,39,1143.6713
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Purina,Beneful,4497,07501072216045,BENEFUL ADULT Salud Radiante Smn 10kgMX,Inventario sin venta,4,96.620605
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Portion,DG Starbucks,4389,07613036943390,SBUX CAPPUCCINO 12Caps 3x120g N1 MX,Inventario sin venta,22,501.0483
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Bebidas,1519,07501058611987,GERBER 2AET Beb Con Jugo Mz LE24x175mlMX,Inventario agotado,0,179.61328
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Cereales,3631,07501058653987,GERBER 1AET Avena Integral 6x200g MX,Inventario agotado,0,18.827587
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Nidal-Nido,Nidal,3190,07506475106146,NIDAL 2 Formula Infantil Lata 12x900g MX,Inventario agotado,0,480.41382
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Nan Supreme,4404,07613287067135,NAN 2 SUPREME 5HMO 6x800g MX,Inventario agotado,0,518.62067
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Bebidas,1542,07501058623034,GERBER 2AET BebDeBebeCiruelaMP24x175mlMX,Inventario agotado,0,32.120686
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Cremadores,Coffee Mate Liq,4810,07501058655219,COFFEE-MATE CARLOS V Liquido 12x530g MX,Ajuste de inventario,-2,1
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Especialidades,4375,07613033036989,NAN AR LR NWHSB230 12x400g N1 MX,Inventario sin venta,29,1617.9479
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Purina,Cat Chow,1684,07501777001151,CAT CHOW Adulto Pescado DP 6x1.5kg N1 MX,Inventario sin venta,11,65.460365
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Purina,Beneful,1623,07501072203908,BENEFUL MINIS Adt Orig Car 12x2kg MX,Inventario sin venta,15,278.80844
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Consumer Care,Boost,61314,07506475113076,BOOST HIGH PROTEIN Vanilla 12x330ml MX,Inventario sin venta,22,145.3444
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,Cat Chow Pouches,1649,07501072212658,CAT CHOW Adulto Pollo 24x85g MX,Inventario agotado,0,67.26059
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Cereales,27607,07506475110587,GERBER 1AET Arroz 24x270g MX,Inventario agotado,0,14.965517
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Nan 4,4284,07501058634832,NAN 4 OPTIPRO HMO FI Lata 6x1.2kg N1MX,Inventario sin venta,10,502.56894
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Portion,Starbucks by Nespresso,4393,07613036961004,SBUX BLNDE ESPRS RST SRP PCC 12x53g B1,Inventario sin venta,23,370.30344
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,Dog Chow,4455,07501072206725,DOG CHOW Puppy Med Large 6x4kg MX,Inventario sin venta,18,452.99197
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Purina,Felix,5565,07501072216090,FELIX Carne 12 Pack MP(12x85g) MX,Inventario sin venta,14,37.603413
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Consumer Care,Boost,61312,07506475113052,BOOST HIGH PROTEIN Strawberry 12x330mlMX,Inventario sin venta,48,60.93124
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Nan 1,2751,07501058623256,NAN 1 OPTIPRO FormulaInfantil 6x1.2kgMX,Inventario sin venta,10,700.9655
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Nan 3,2749,07501058623232,NAN 3 OPTIPRO FI HMO Lata 6x1.2kg N2 MX,Inventario sin venta,15,699.39655
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Purina,Cat Chow Pouches,5552,07501072212672,CAT CHOW Esterilizado Carne 24x85g MX,Inventario sin venta,50,75.56741
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Nan 2,21594,07506475105125,NAN 2 Optimal Pro FI Oco 6x1.5kg N1 MX,Inventario agotado,0,43.53382
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Bebidas,21572,07501058656353,GERBER2AETBebHidratanteSabCP6(4x175ml)MX,Inventario agotado,0,41.379307
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,Felix Pouches,1668,07501072214478,FELIX Fantastic Deli con Atun 24x85g MX,Inventario agotado,0,136.38983
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Alim. Infantiles,Papillas 3A,77495,07506475115575,GERBER 3AET Yogurt Pera Plat 12x170g MX,Inventario sin venta,11,63.651722
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Natures Heart,Culinary Ingredients,4769,07862107784060,NH ALMENDRA REBANADA,Inventario sin venta,29,199.24138
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Nan Supreme,4404,07613287067135,NAN 2 SUPREME 5HMO 6x800g MX,Inventario sin venta,4,165.31035
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Alim. Infantiles,Cereales,4402,07613287014962,CERELAC BLProb Hierro+Cer+LecTrg12x1kgMX,Inventario sin venta,17,187.58618
